Sr. No.,State Code,State Name,District Name,District Code,Project Name,Project Code,Sector,Sector Code,AWC Name,Village Town,LGD Village Code /Town Code,AWC Code,Health Block,Block Code,Helath Sub centre,Helath Sub Centre Code
1,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Averi,Awari,011908,02024010101,,,,
2,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bhadrena,Bhadrena,011883,02024010102,,,,
3,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bari Khas,Bari,012059,02024010103,,,,
4,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bari Khas II,Bahi Khas,012025,02024010104,,,,
5,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gadiara,Nain,011888,02024010105,,,,
6,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gwal Thana,Gawal,012005,02024010106,,,,
7,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gwal Tikker,Gawal,012005,02024010107,,,,
8,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gehar,Janehar,011926,02024010108,,,,
9,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gonth,Ganoh,011920,02024010109,,,,
10,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Ghorpeeth,Ghorpith,011907,02024010110,,,,
11,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gujrehra,Gujrera,011955,02024010111,,,,
12,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kamlehar,Nain,011888,02024010112,,,,
13,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kand,Gawal,012005,02024010113,,,,
14,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kand II,Gawal,012005,02024010114,,,,
15,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Lihal Chandpur,Aweri,011908,02024010115,,,,
16,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Lohar Lahri,Ganoh,011920,02024010116,,,,
